COURSE,DEPARTMENT,COURSE ID,CLASS NBR,TOTAL ENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
OEB  305,BIOE,133893,11262,6,6,,,,
OEB  370,BIOE,145035,13651,6,6,,,,
OEB  310,BIOE,148072,12594,5,5,,,,
OEB  334,BIOE,144912,12705,5,5,,,,
OEB  216,BIOE,156660,16772,4,,4,,,
OEB  307,BIOE,146785,11626,4,4,,,,
OEB  308,BIOE,142234,12574,4,4,,,,
OEB  323,BIOE,144847,16929,4,4,,,,
OEB  341,BIOE,131524,11034,4,4,,,,
OEB  343,BIOE,131235,10227,4,4,,,,
OEB  364,BIOE,144166,13174,4,4,,,,
OEB  367,BIOE,144580,13590,4,4,,,,
OEB  371,BIOE,148304,12974,4,4,,,,
OEB  385,BIOE,146224,13720,4,4,,,,
OEB  387,BIOE,159947,16930,4,4,,,,
OEB  191,BIOE,148252,14574,3,,3,,,
OEB  303,BIOE,131537,11619,3,3,,,,
OEB  320,BIOE,131538,11629,3,3,,,,
OEB  324,BIOE,131405,10987,3,3,,,,
OEB  361,BIOE,143495,14385,3,3,,,,
OEB  362,BIOE,148190,12940,3,3,,,,
OEB  375,BIOE,146222,14392,3,3,,,,
OEB  378,BIOE,146223,13717,3,3,,,,
OEB   91R,BIOE,156955,12679,2,,2,,,
OEB  311,BIOE,143020,12294,2,2,,,,
OEB  355,BIOE,146798,10294,2,2,,,,
OEB  363,BIOE,148213,13170,2,2,,,,
OEB  369,BIOE,145004,13292,2,2,,,,
OEB  386,BIOE,148330,14393,2,2,,,,
OEB  304,BIOE,141338,12006,1,1,,,,
OEB  309,BIOE,156737,11669,1,1,,,,
OEB  325,BIOE,140929,14382,1,1,,,,
OEB  339,BIOE,142435,12368,1,1,,,,
OEB  345,BIOE,141168,14383,1,1,,,,
OEB  372,BIOE,145451,12972,1,1,,,,
OEB  380,BIOE,130822,14379,1,1,,,,
BIOPHYS  300,BIPH,121518,12771,39,39,,,,
